coder@coder-sanderw-alt-mulig-machine-8ccccf77c-tjfr4:~$ ls
ikt466-project	teklit-maskin  zsh
coder@coder-sanderw-alt-mulig-machine-8ccccf77c-tjfr4:~$ cd teklit-maskin/
coder@coder-sanderw-alt-mulig-machine-8ccccf77c-tjfr4:~/teklit-maskin$ cat src/main.py.log 
Initialization of sparse structure.
Arguments:
  moves_before_win: 0
  number_of_boards: 100000
  board_size: 21
  epochs: 150
  number_of_clauses: 32000
  T: 6000
  s: 1.5
  number_of_state_bits: 8
  depth: 2
  hypervector_size: 256
  hypervector_bits: 4
  message_size: 82
  message_bits: 4
  double_hashing: False
  one_hot_encoding: False
  max_included_literals: 250
No cache found, loading CSV: data/hex_games_100000_size_21.csv
Generating 100000 games on 21x21 board (stopping 0 moves early)...
Epoch 59/150 Train Accuracy: 90.80% Test Accuracy: 89.85% Time: 522.10s
Epoch 60/150 Train Accuracy: 86.18% Test Accuracy: 85.59% Time: 523.66s
Epoch 61/150 Train Accuracy: 91.73% Test Accuracy: 91.06% Time: 523.03s
Epoch 62/150 Train Accuracy: 92.18% Test Accuracy: 91.14% Time: 523.18s
Epoch 63/150 Train Accuracy: 86.03% Test Accuracy: 84.97% Time: 523.33s
Epoch 64/150 Train Accuracy: 87.10% Test Accuracy: 86.45% Time: 522.88s
Epoch 65/150 Train Accuracy: 95.90% Test Accuracy: 95.31% Time: 522.40s
Epoch 66/150 Train Accuracy: 84.31% Test Accuracy: 83.62% Time: 522.95s
Epoch 67/150 Train Accuracy: 92.89% Test Accuracy: 91.92% Time: 522.32s
Epoch 68/150 Train Accuracy: 92.17% Test Accuracy: 91.67% Time: 523.19s
Epoch 69/150 Train Accuracy: 93.40% Test Accuracy: 93.05% Time: 522.98s
Epoch 70/150 Train Accuracy: 89.15% Test Accuracy: 88.62% Time: 522.33s
Epoch 71/150 Train Accuracy: 89.65% Test Accuracy: 89.18% Time: 522.87s
Epoch 72/150 Train Accuracy: 93.03% Test Accuracy: 92.36% Time: 522.46s
Epoch 73/150 Train Accuracy: 96.41% Test Accuracy: 96.00% Time: 523.09s
Epoch 74/150 Train Accuracy: 96.95% Test Accuracy: 96.21% Time: 522.34s
Epoch 75/150 Train Accuracy: 96.59% Test Accuracy: 95.93% Time: 521.67s
Epoch 76/150 Train Accuracy: 94.14% Test Accuracy: 93.38% Time: 522.10s
Epoch 77/150 Train Accuracy: 97.46% Test Accuracy: 96.86% Time: 521.11s
Epoch 78/150 Train Accuracy: 91.33% Test Accuracy: 90.27% Time: 521.47s
Epoch 79/150 Train Accuracy: 94.69% Test Accuracy: 94.16% Time: 520.82s
Epoch 80/150 Train Accuracy: 98.40% Test Accuracy: 97.97% Time: 520.72s
Epoch 81/150 Train Accuracy: 98.64% Test Accuracy: 98.23% Time: 520.78s
Epoch 82/150 Train Accuracy: 97.76% Test Accuracy: 97.38% Time: 519.75s
Epoch 83/150 Train Accuracy: 96.14% Test Accuracy: 95.56% Time: 520.73s
Epoch 84/150 Train Accuracy: 85.71% Test Accuracy: 84.60% Time: 520.18s
Epoch 85/150 Train Accuracy: 97.83% Test Accuracy: 97.41% Time: 520.58s
Epoch 86/150 Train Accuracy: 98.17% Test Accuracy: 97.58% Time: 521.00s
Epoch 87/150 Train Accuracy: 98.88% Test Accuracy: 98.45% Time: 520.95s
Epoch 88/150 Train Accuracy: 98.32% Test Accuracy: 97.91% Time: 520.57s
Epoch 89/150 Train Accuracy: 98.89% Test Accuracy: 98.59% Time: 520.28s
Epoch 90/150 Train Accuracy: 98.89% Test Accuracy: 98.56% Time: 519.94s
Epoch 91/150 Train Accuracy: 98.08% Test Accuracy: 97.59% Time: 520.50s
Epoch 92/150 Train Accuracy: 98.90% Test Accuracy: 98.50% Time: 519.63s
Epoch 93/150 Train Accuracy: 98.94% Test Accuracy: 98.58% Time: 520.14s
Epoch 94/150 Train Accuracy: 98.10% Test Accuracy: 97.58% Time: 520.00s
Epoch 95/150 Train Accuracy: 95.29% Test Accuracy: 94.38% Time: 520.06s
Epoch 96/150 Train Accuracy: 97.36% Test Accuracy: 97.11% Time: 521.46s
Epoch 97/150 Train Accuracy: 99.56% Test Accuracy: 99.32% Time: 519.62s
Epoch 98/150 Train Accuracy: 96.91% Test Accuracy: 96.52% Time: 520.34s
Epoch 99/150 Train Accuracy: 82.45% Test Accuracy: 81.77% Time: 520.04s
Epoch 100/150 Train Accuracy: 97.40% Test Accuracy: 96.92% Time: 519.70s
Epoch 101/150 Train Accuracy: 96.43% Test Accuracy: 95.86% Time: 521.01s
Epoch 102/150 Train Accuracy: 96.94% Test Accuracy: 96.56% Time: 520.13s
Epoch 103/150 Train Accuracy: 95.72% Test Accuracy: 95.37% Time: 520.12s
Epoch 104/150 Train Accuracy: 98.34% Test Accuracy: 97.89% Time: 520.38s
Epoch 105/150 Train Accuracy: 97.86% Test Accuracy: 97.52% Time: 519.63s
Epoch 106/150 Train Accuracy: 94.58% Test Accuracy: 93.97% Time: 520.36s
Epoch 107/150 Train Accuracy: 96.64% Test Accuracy: 96.12% Time: 519.35s
Epoch 108/150 Train Accuracy: 98.03% Test Accuracy: 97.81% Time: 520.06s
Epoch 109/150 Train Accuracy: 98.43% Test Accuracy: 98.05% Time: 520.04s
Epoch 110/150 Train Accuracy: 98.42% Test Accuracy: 97.97% Time: 519.05s
Epoch 111/150 Train Accuracy: 97.68% Test Accuracy: 97.28% Time: 519.72s
Epoch 112/150 Train Accuracy: 98.47% Test Accuracy: 98.06% Time: 518.98s
Epoch 113/150 Train Accuracy: 99.23% Test Accuracy: 99.01% Time: 519.21s
Epoch 114/150 Train Accuracy: 97.28% Test Accuracy: 96.65% Time: 520.42s
Epoch 115/150 Train Accuracy: 97.00% Test Accuracy: 96.41% Time: 519.68s
Epoch 116/150 Train Accuracy: 90.05% Test Accuracy: 89.37% Time: 520.70s
Epoch 117/150 Train Accuracy: 91.34% Test Accuracy: 90.59% Time: 520.03s
Epoch 118/150 Train Accuracy: 96.92% Test Accuracy: 96.53% Time: 520.42s
Epoch 119/150 Train Accuracy: 97.16% Test Accuracy: 97.13% Time: 520.55s
Epoch 120/150 Train Accuracy: 97.73% Test Accuracy: 97.57% Time: 519.22s
Epoch 121/150 Train Accuracy: 97.59% Test Accuracy: 97.21% Time: 519.28s
Epoch 122/150 Train Accuracy: 94.23% Test Accuracy: 93.39% Time: 518.90s
Epoch 123/150 Train Accuracy: 90.62% Test Accuracy: 89.64% Time: 520.24s
Epoch 124/150 Train Accuracy: 94.03% Test Accuracy: 93.38% Time: 521.15s
Epoch 125/150 Train Accuracy: 95.46% Test Accuracy: 94.74% Time: 520.32s
Epoch 126/150 Train Accuracy: 96.36% Test Accuracy: 95.70% Time: 520.12s
Epoch 127/150 Train Accuracy: 98.97% Test Accuracy: 98.59% Time: 519.62s
Epoch 128/150 Train Accuracy: 98.37% Test Accuracy: 98.04% Time: 519.24s
Epoch 129/150 Train Accuracy: 99.07% Test Accuracy: 98.61% Time: 518.99s
Epoch 130/150 Train Accuracy: 99.20% Test Accuracy: 99.05% Time: 518.63s
Epoch 131/150 Train Accuracy: 98.60% Test Accuracy: 98.25% Time: 518.22s
Epoch 132/150 Train Accuracy: 99.11% Test Accuracy: 98.85% Time: 518.88s
Epoch 133/150 Train Accuracy: 98.09% Test Accuracy: 97.88% Time: 518.57s
Epoch 134/150 Train Accuracy: 98.58% Test Accuracy: 98.17% Time: 518.59s
Epoch 135/150 Train Accuracy: 97.87% Test Accuracy: 97.45% Time: 518.33s
Epoch 136/150 Train Accuracy: 98.63% Test Accuracy: 98.30% Time: 518.74s
Epoch 137/150 Train Accuracy: 97.85% Test Accuracy: 97.50% Time: 519.06s
Epoch 138/150 Train Accuracy: 94.77% Test Accuracy: 94.53% Time: 518.30s
Epoch 139/150 Train Accuracy: 98.72% Test Accuracy: 98.30% Time: 518.86s
Epoch 140/150 Train Accuracy: 98.38% Test Accuracy: 97.97% Time: 519.19s
Epoch 141/150 Train Accuracy: 95.07% Test Accuracy: 94.48% Time: 519.44s
Epoch 142/150 Train Accuracy: 95.27% Test Accuracy: 94.76% Time: 519.95s
Epoch 143/150 Train Accuracy: 98.11% Test Accuracy: 97.69% Time: 518.87s
Epoch 144/150 Train Accuracy: 98.27% Test Accuracy: 97.97% Time: 519.75s
Epoch 145/150 Train Accuracy: 98.30% Test Accuracy: 97.88% Time: 518.48s
Epoch 146/150 Train Accuracy: 98.30% Test Accuracy: 97.97% Time: 518.15s
Epoch 147/150 Train Accuracy: 98.15% Test Accuracy: 97.48% Time: 518.57s
Epoch 148/150 Train Accuracy: 95.30% Test Accuracy: 94.70% Time: 517.66s
Epoch 149/150 Train Accuracy: 98.86% Test Accuracy: 98.58% Time: 518.12s
Epoch 150/150 Train Accuracy: 99.05% Test Accuracy: 98.77% Time: 517.89s

Symbols: ['empty', 'red', 'blue', 'row_0', 'col_0', 'row_1', 'col_1', 'row_2', 'col_2', 'row_3', 'col_3', 'row_4', 'col_4', 'row_5', 'col_5', 'row_6', 'col_6', 'row_7', 'col_7', 'row_8', 'col_8', 'row_9', 'col_9', 'row_10', 'col_10', 'row_11', 'col_11', 'row_12', 'col_12', 'row_13', 'col_13', 'row_14', 'col_14', 'row_15', 'col_15', 'row_16', 'col_16', 'row_17', 'col_17', 'row_18', 'col_18', 'row_19', 'col_19', 'row_20', 'col_20', 'top', 'bottom', 'left', 'right']
Number of symbols: 49
Hypervector size: 256
